================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  20h 05m TEL Tern Vanguard [EXQ-203]      Out Antimatter Cells     100   122.74      12,274  —                                       [?] unknown
  20h 12m Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  20h 14m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   132.59      17,900  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  20h 15m Ides Vanguard [SCA-769]          Out Refined Metals       528   120.88      63,825  —                                       [?] unknown
  20h 18m Demeter Vanguard [TKZ-886]       Out Energy Cells       1,200    19.16      22,992  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  20h 19m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             320    50.75      16,240  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  20h 20m Osprey Vanguard [EXL-556]        Out Antimatter Cells     135   126.92      17,134  ARG Claytronics Factory I (WYW-730)     [~] infer (visit)
  20h 22m Magpie Sentinel [LSS-543]        Out Antimatter Cells     165   124.20      20,493  TEL Claytronics Factory II (ILR-015)    [v] proven (courier)
  20h 31m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  20h 34m Demeter Vanguard [TKZ-886]       Out Energy Cells         540    21.94      11,848  ARG Drone Component Factory I (STJ-266  [v] proven (courier)
  20h 37m Osprey Vanguard [EXL-556]        Out Energy Cells       1,705    18.76      31,986  TEL Advanced Composite Factory I (WTF-  [~] infer (visit)
  20h 39m Osprey Vanguard [GBS-045]        Out Energy Cells       2,430    17.03      41,383  TEL Teladianium Foundry I (TQZ-067)     [v] proven (courier)
  20h 39m Magpie Sentinel [LSS-543]        Out Energy Cells         540    18.86      10,184  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  20h 48m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  20h 49m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     838   142.07     119,055  —                                       [?] unknown
  20h 50m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  20h 53m Magpie Sentinel [LSS-543]        Out Refined Metals       276   198.61      54,816  ARG Hull Part Factory II (HDW-562)      [v] proven (courier)
  20h 56m Osprey Vanguard [GBS-045]        Out Energy Cells         960    17.00      16,320  TEL Field Coil Factory I (CBN-007)      [v] proven (courier)
  21h 04m SCA Vulture Vanguard [UUN-871]   Out Antimatter Cells     671   123.44      82,828  —                                       [?] unknown
  21h 04m Osprey Vanguard [EXL-556]        Out Refined Metals       173   142.93      24,727  ANT Hull Part Factory II (WFF-475)      [~] infer (visit)
  21h 05m Demeter Vanguard [TKZ-886]       Out Refined Metals       564   136.54      77,009  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  21h 06m Tern Sentinel [BFM-940]          Out Energy Cells         480    18.90       9,072  TEL Turret Component Factory I (FVH-52  [v] proven (courier)
  21h 10m Osprey Vanguard [GBS-045]        Out Energy Cells       1,860    18.17      33,796  TEL Scanning Array Factory I (NQA-203)  [v] proven (courier)
  21h 11m Magpie Sentinel [LSS-543]        Out Refined Metals       276   194.25      53,613  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  21h 11m ARG Mercury Vanguard [HCH-872]   Out Refined Metals       585    90.37      52,866  —                                       [?] unknown
  21h 15m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     121   121.00      14,641  —                                       [?] unknown
  21h 16m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  21h 19m Osprey Vanguard [GBS-045]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  21h 25m Osprey Vanguard [EXL-556]        Out Energy Cells       2,430    16.02      38,929  TEL Nostrop Oil Factory II (AML-461)    [~] infer (visit)
  21h 26m Tern Sentinel [BFM-940]          Out Antimatter Cells      79   124.31       9,820  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  21h 26m Magpie Sentinel [LSS-543]        Out Refined Metals       192   100.82      19,357  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  21h 29m Demeter Vanguard [TKZ-886]       Out Energy Cells         575    21.40      12,305  TEL Drone Component Factory I (VWZ-124  [v] proven (courier)
  21h 33m Osprey Vanguard [GBS-045]        Out Refined Metals       173   132.76      22,967  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  21h 40m Magpie Sentinel [LSS-543]        Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  21h 40m Tern Sentinel [BFM-940]          Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  21h 41m Osprey Vanguard [EXL-556]        Out Energy Cells         920    18.38      16,910  TEL Advanced Electronics Factory I (CY  [~] infer (visit)
  21h 49m TEL Vulture Vanguard [RFN-491]   Out Antimatter Cells     327   128.12      41,895  —                                       [?] unknown
  21h 50m Tern Sentinel [BFM-940]          Out Energy Cells       3,266    18.15      59,278  TEL Nostrop Oil Factory I (SUA-021)     [v] proven (courier)
  21h 51m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             139    50.70       7,047  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  21h 52m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     144   131.84      18,985  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  21h 53m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   125.52      26,987  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  21h 55m Osprey Vanguard [GBS-045]        Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  21h 57m ARG Mercury Vanguard [HCH-872]   Out Refined Metals       528    89.00      46,992  —                                       [?] unknown
  22h 06m Osprey Vanguard [EXL-556]        Out Antimatter Cells     135   125.07      16,884  ARG Claytronics Factory I (WYW-730)     [~] infer (visit)
  22h 07m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             320    50.75      16,240  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  22h 07m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   147.02      31,609  ARG Engine Part Factory I (IHN-704)     [v] proven (courier)
  22h 12m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  22h 19m Magpie Sentinel [LSS-543]        Out Antimatter Cells     179   124.12      22,217  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  22h 19m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  22h 22m Osprey Vanguard [EXL-556]        Out Energy Cells       2,430    18.71      45,465  TEL Scanning Array Factory I (XXR-298)  [~] infer (visit)
  22h 23m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   172.49      23,286  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  22h 25m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  22h 29m TEL Vulture Vanguard [RFN-491]   Out Antimatter Cells     100   122.43      12,243  —                                       [?] unknown
  22h 29m Demeter Vanguard [TKZ-886]       Out Energy Cells       3,230    18.53      59,852  TEL Helium Refinery I (HHG-108)         [v] proven (courier)
  22h 30m Magpie Sentinel [LSS-543]        Out Refined Metals       276   211.55      58,388  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  22h 41m Osprey Vanguard [EXL-556]        Out Antimatter Cells     135   123.71      16,701  TEL Claytronics Factory II (ILR-015)    [~] infer (visit)
  22h 45m Osprey Vanguard [GBS-045]        Out Energy Cells       2,032    20.24      41,128  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  22h 45m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     200   124.61      24,922  TEL Claytronics Factory I (HQE-367)     [v] proven (courier)
  22h 46m Magpie Sentinel [LSS-543]        Out Refined Metals       276   210.83      58,189  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  22h 48m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             320    50.75      16,240  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  22h 55m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  23h 00m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   127.04      27,314  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  23h 05m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     179   124.10      22,214  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  23h 05m Osprey Vanguard [EXL-556]        Out Refined Metals       173   190.63      32,979  ARG Hull Part Factory III (OPO-874)     [~] infer (visit)
  23h 07m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   137.23      18,526  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  23h 09m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             320    50.75      16,240  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  23h 12m Magpie Sentinel [LSS-543]        Out Energy Cells       2,000    20.11      40,220  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  23h 14m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  23h 21m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  23h 23m Tern Sentinel [UEK-696]          Out Refined Metals       837   114.82      96,104  TEL Scanning Array Factory I (WEN-308)  [~] infer (delivery)
  23h 26m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     320   145.99      46,717  —                                       [?] unknown
  23h 26m Tern Sentinel [LVQ-086]          Out Refined Metals       971   152.66     148,233  TEL Teladianium Foundry II (FSR-648)    [~] infer (delivery)
  23h 29m Magpie Sentinel [LSS-543]        Out Refined Metals       276   211.68      58,424  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  23h 30m Osprey Vanguard [EXL-556]        Out Energy Cells       1,385    20.34      28,171  TEL Scanning Array Factory I (XXR-298)  [~] infer (visit)
  23h 33m Osprey Vanguard [GBS-045]        Out Refined Metals       173   135.31      23,409  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  23h 34m Demeter Vanguard [TKZ-886]       Out Energy Cells       1,386    21.01      29,120  ARG Quantum Tube Factory I (JAD-300)    [v] proven (courier)
  23h 46m Magpie Sentinel [LSS-543]        Out Energy Cells         698    22.00      15,356  ARG Drone Component Factory I (STJ-266  [v] proven (courier)
  23h 50m Osprey Vanguard [EXL-556]        Out Refined Metals       173   121.39      21,000  ANT Scanning Array Factory I (ARG-766)  [~] infer (visit)
  23h 53m Demeter Vanguard [TKZ-886]       Out Energy Cells       1,482    21.10      31,270  TEL Microchip Factory I (SLL-743)       [v] proven (courier)
  23h 54m TEL Vulture Vanguard [RFN-491]   Out Antimatter Cells     671   173.69     116,546  —                                       [?] unknown
  23h 59m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   134.19      18,116  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Station TV  ·  352 trades   [v] 192   [~] 24   [?] 136
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  1m      Okinawa [WCG-261]                Out Silicon Wafers     1,000   214.68     214,680  ANT Microchip Factory I (JQP-601)       [~] infer (delivery)
  17m     SE [BHT-123]                     Out Superfluid Coola     150   109.42      16,413  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  22m     Incarcatura Sentinel [WBG-761]   Out Quantum Tubes      2,454   237.56     582,972  —                                       [?] unknown
  26m     Mercury Vanguard [EJY-843]       Out Energy Cells       2,994    16.26      48,682  PIO Segaris Pioneers Wharf (WCZ-756)    [~] infer (delivery)
  32m     Veles Sentinel [TDD-486]         Out Quantum Tubes         40   256.82      10,273  ANT Advanced Electronics Factory I (RK  [v] proven (courier)
  43m     Baldric [KVR-019]                Out Energy Cells      10,474    16.07     168,317  PIO Solar Power Plant II (NCG-497)      [~] infer (delivery)
  44m     SE [BHT-123]                     Out Quantum Tubes        215   256.29      55,102  ANT Field Coil Factory I (KZS-670)      [v] proven (courier)
  54m     Mercury Sentinel [MBE-553]       Out Superfluid Coola     615   107.85      66,328  ANT Hull Part Factory III (PZR-902)     [~] infer (delivery)
  55m     Veles Sentinel [TDD-486]         Out Quantum Tubes         80   272.47      21,798  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  55m     ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   313.91     171,395  —                                       [?] unknown
  1h 10m  ARG Mercury Vanguard [OIY-560]   Out Silicon Wafers       455   299.46     136,254  —                                       [?] unknown
